11.04.2026 08:49:11 | ERROR    | processor                 | Error processing THGA [1D]: Source file not found: /app/data/parquet/THGA/1D.parquet
11.04.2026 08:49:11 | ERROR    | processor                 | Error processing EVAC.U [1D]: Source file not found: /app/data/parquet/EVAC.U/1D.parquet
11.04.2026 08:49:11 | ERROR    | processor                 | Error processing ALVU [1D]: Source file not found: /app/data/parquet/ALVU/1D.parquet
11.04.2026 08:49:11 | ERROR    | processor                 | Error processing MFAC.U [1D]: Source file not found: /app/data/parquet/MFAC.U/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing AIIA.RT [1D]: Source file not found: /app/data/parquet/AIIA.RT/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing ICCT [1D]: Source file not found: /app/data/parquet/ICCT/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing KRSP.U [1D]: Source file not found: /app/data/parquet/KRSP.U/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing IGTAR [1D]: Source file not found: /app/data/parquet/IGTAR/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing BHSE [1D]: Source file not found: /app/data/parquet/BHSE/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing TZACU [1D]: Source file not found: /app/data/parquet/TZACU/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing KWAC [1D]: Source file not found: /app/data/parquet/KWAC/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing SLNAF [1D]: Source file not found: /app/data/parquet/SLNAF/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing CREC [1D]: Source file not found: /app/data/parquet/CREC/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing GAB.RT [1D]: Source file not found: /app/data/parquet/GAB.RT/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing VSACU [1D]: Source file not found: /app/data/parquet/VSACU/1D.parquet
11.04.2026 08:49:12 | ERROR    | processor                 | Error processing FIEE [1D]: Source file not found: /app/data/parquet/FIEE/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing TBLT [1D]: Source file not found: /app/data/parquet/TBLT/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing RFACR [1D]: Source file not found: /app/data/parquet/RFACR/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing WKEYV [1D]: Source file not found: /app/data/parquet/WKEYV/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing EPWR [1D]: Source file not found: /app/data/parquet/EPWR/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing ARYBU [1D]: Source file not found: /app/data/parquet/ARYBU/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing DWINU [1D]: Source file not found: /app/data/parquet/DWINU/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing ACGN [1D]: Source file not found: /app/data/parquet/ACGN/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing SEVCF [1D]: Source file not found: /app/data/parquet/SEVCF/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing MASK [1D]: Source file not found: /app/data/parquet/MASK/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing VAXX [1D]: Source file not found: /app/data/parquet/VAXX/1D.parquet
11.04.2026 08:49:13 | ERROR    | processor                 | Error processing NIVF [1D]: Source file not found: /app/data/parquet/NIVF/1D.parquet
11.04.2026 08:49:14 | ERROR    | processor                 | Error processing AEAEU [1D]: Source file not found: /app/data/parquet/AEAEU/1D.parquet
11.04.2026 08:49:14 | ERROR    | processor                 | Error processing BOAC.U [1D]: Source file not found: /app/data/parquet/BOAC.U/1D.parquet
11.04.2026 08:49:14 | ERROR    | processor                 | Error processing PRBM.U [1D]: Source file not found: /app/data/parquet/PRBM.U/1D.parquet
11.04.2026 08:49:14 | ERROR    | processor                 | Error processing BACQR [1D]: Source file not found: /app/data/parquet/BACQR/1D.parquet
11.04.2026 08:49:14 | ERROR    | processor                 | Error processing SPE.RT [1D]: Source file not found: /app/data/parquet/SPE.RT/1D.parquet
